match_id,home_ballpossession,away_ballpossession,home_totalshotsongoal,away_totalshotsongoal,home_goalkeepersaves,away_goalkeepersaves,home_cornerkicks,away_cornerkicks,home_fouls,away_fouls,home_passes,away_passes,home_freekicks,away_freekicks,home_yellowcards,away_yellowcards,home_shotsongoal,away_shotsongoal,home_hitwoodwork,away_hitwoodwork,home_shotsoffgoal,away_shotsoffgoal,home_blockedscoringattempt,away_blockedscoringattempt,home_totalshotsinsidebox,away_totalshotsinsidebox,home_totalshotsoutsidebox,away_totalshotsoutsidebox,home_offsides,away_offsides,home_accuratepasses,away_accuratepasses,home_throwins,away_throwins,home_duelwonpercent,away_duelwonpercent,home_groundduelspercentage,away_groundduelspercentage,home_aerialduelspercentage,away_aerialduelspercentage,home_goalkicks,away_goalkicks,home_accuratethroughball,away_accuratethroughball,home_redcards,away_redcards
7133492,53,47,11,9,2,3,0,2,23,15,463,401,13,21,2,0,3,2,0,0,8,4,0,3,5,2,6,7,0,2,338,271,19,29,50,50,33,39,18,13,9,8,0,1,,
7133503,50,50,10,7,3,2,3,3,17,18,338,329,17,15,0,2,6,2,1,1,2,4,2,1,7,5,3,2,6,1,231,223,35,36,51,49,52,51,16,14,10,8,,,,
7133493,58,42,17,6,0,3,3,2,21,16,384,285,15,20,4,4,6,1,1,0,9,4,2,1,13,4,4,2,3,2,302,183,34,20,48,52,34,44,21,15,7,11,,,0,1
7133482,54,46,18,5,1,5,5,2,15,11,437,366,8,13,3,0,9,3,1,1,8,2,1,0,14,4,4,1,3,1,336,266,23,26,49,51,34,34,16,18,8,11,1,0,0,1
7133488,29,71,5,21,3,0,3,5,16,6,272,658,5,12,1,4,0,4,0,0,4,11,1,6,0,11,5,10,,,190,582,14,34,53,47,31,27,6,6,15,4,0,1,,
7133491,51,49,14,12,1,2,1,4,17,16,412,390,16,17,1,1,3,6,0,1,9,4,2,2,6,11,8,1,0,1,323,304,19,23,56,44,42,27,7,11,6,13,,,,
7133495,66,34,20,6,2,2,7,2,14,9,612,311,9,13,1,1,5,3,0,0,12,2,3,1,12,3,8,3,2,4,535,228,26,15,53,47,52,50,17,12,4,13,,,,
7133494,56,44,12,14,3,5,9,5,14,15,449,352,15,13,3,3,6,3,0,0,3,7,3,4,9,7,3,7,0,1,372,267,24,26,41,59,33,51,12,13,8,5,0,1,,
7133504,49,51,10,11,1,1,7,10,15,21,335,333,21,13,3,1,2,2,3,0,5,6,3,3,6,8,4,3,0,1,248,236,20,27,50,50,47,43,13,17,12,6,1,0,,
7133501,54,46,15,7,1,6,6,1,14,14,453,389,14,13,2,6,6,1,0,0,8,4,1,2,9,2,6,5,3,1,364,285,20,15,50,50,43,38,7,13,6,11,,,0,2
7133502,32,68,9,19,6,2,4,12,21,8,238,495,8,19,4,1,2,7,1,0,5,5,2,7,1,12,8,7,2,2,154,399,19,31,44,56,27,36,11,13,7,12,,,1,0
7133499,52,48,9,16,4,1,3,6,16,25,418,365,23,16,6,3,2,6,0,0,5,6,2,4,5,9,4,7,2,0,312,279,17,18,54,46,41,28,14,19,9,7,,,1,0
7133489,43,57,11,12,4,4,3,3,15,17,375,505,16,15,2,3,4,5,0,0,7,5,0,2,8,8,3,4,4,1,283,413,23,25,48,52,40,43,18,19,7,11,0,1,,
7133490,56,44,9,4,2,1,10,1,14,9,482,392,9,14,5,2,2,3,0,0,4,1,3,0,6,3,3,1,1,1,387,301,30,22,39,61,24,40,8,11,4,9,,,,
