match_id,home_ballpossession,away_ballpossession,home_goalkeepersaves,away_goalkeepersaves,home_cornerkicks,away_cornerkicks,home_fouls,away_fouls,home_freekicks,away_freekicks,home_yellowcards,away_yellowcards,home_redcards,away_redcards,home_shotsongoal,away_shotsongoal,home_shotsoffgoal,away_shotsoffgoal,home_offsides,away_offsides,home_throwins,away_throwins,home_goalkicks,away_goalkicks
4098805,60,40,5,12,4,1,25,23,25,31,4,5,0,1,6,2,4,6,6,2,17,15,12,8
4098809,50,50,4,3,9,5,15,16,17,21,6,4,0,0,5,8,0,7,6,1,26,25,14,3
4098817,55,45,2,2,4,2,18,18,20,18,1,1,0,0,6,5,4,5,0,2,28,9,10,11
4098803,40,60,5,3,6,4,12,18,18,15,0,4,1,0,3,5,3,7,3,0,25,21,12,5
4098815,55,45,1,7,7,6,12,13,13,16,1,2,0,0,7,1,4,7,4,0,22,28,12,7
4098807,35,65,13,3,0,9,11,17,17,14,2,2,0,0,2,6,4,4,3,0,15,30,12,6
4098813,55,45,4,5,5,7,19,22,28,20,1,2,0,0,5,4,4,5,1,6,30,19,8,9
4098801,51,49,4,10,4,2,21,23,27,22,4,7,0,2,3,1,4,2,1,4,20,22,3,12
4098823,59,41,8,4,5,3,22,15,18,27,1,2,0,0,3,3,8,5,5,3,20,18,7,12
4098833,50,50,2,5,7,3,18,19,21,19,1,4,0,1,5,2,4,6,1,2,24,23,7,9
4098819,49,51,9,9,6,4,26,15,16,29,2,3,0,0,5,1,8,2,3,1,20,18,3,15
4098829,46,54,13,8,13,9,17,11,15,19,1,2,0,0,8,7,3,3,2,4,25,26,5,7
4098821,43,57,4,4,7,6,23,18,22,23,3,2,0,0,6,5,5,2,0,4,30,37,5,11
4098835,,,,,,,,,,,1,1,0,0,,,,,,,3,1,,
4098827,41,59,3,1,6,3,18,16,18,25,4,2,0,0,3,7,3,8,7,2,8,20,16,6
4098825,54,46,2,0,6,5,21,20,20,24,2,2,0,0,3,3,3,6,3,0,26,25,9,9
4098831,49,51,1,3,5,6,22,27,28,25,2,5,0,1,4,3,7,5,3,1,16,23,10,11
